"Code_display","Crop_code","Common_name","Latin_name","Major_use","Other_uses","Crop_comments","DSSAT_code","APSIM_code","AgTrials_code","Photosynthetic pathway","Repro_type","Daylength","Vernalization","Harvested_parts","When_harvested","N_fixation","Major_planting","Other_planting","Wikipedia","DSSAT_tree_node"
"CRID, ICPCR, HACRID","ACK","Artichoke","Cynara scolymus ","Vegetable",,,,,,"C3","Annual","SD/LD","Y","Inflorescence","Size","N","Cuttings","Seed","en.wikipedia.org/wiki/Artichoke","Vegetables"
"CRID","ALD","Almond","Prunus dulcis","Nut",,,,,,"C3","Perennial",,,"Seed",,"N",,,"en.wikipedia.org/wiki/Almond","Nut"
"CRID","ALF","Alfalfa","Medicago sativa","Forage",,"Lucerne","AL","Lucerne",,"C3","Perennial","LD","N","Shoot",,"Y","Seed",,"en.wikipedia.org/wiki/Alfalfa","Forages"
"CRID","AMR","Amaranth","Amaranthus spp.","Pseudocereal","Vegetable"," A. caudatus, A. cruentus, and A.hypochondriacus",,,,"C4","Annual","SD",,"Seed",,"N","Seed",,"en.wikipedia.org/wiki/Amaranth#Seed","Cereals"
"CRID","APL","Apple","Malus pumila","Fruit",,,"AM","Apple",,"C3","Perennial",,"Y","Fruit",,"N","Transplant",,"en.wikipedia.org/wiki/Apple","Fruit crops"
"CRID","APR","Apricot","Prunus armeniaca","Fruit",,,"AP","Apricot",,"C3","Perennial",,"Y","Fruit",,"N","Transplant",,"en.wikipedia.org/wiki/Apricot","Fruit crops"
"CRID","ASP","Asparagus","Asparagus officinalis","Vegetable",,,,,,"C3","Perennial",,,"Seed",,"N","Crowns",,"en.wikipedia.org/wiki/Asparagus","Vegetables"
"CRID","AVC","Avocado","Persea americana","Fruit",,,,,,"C3","Perennial",,,"Fruit","Size","N",,,"en.wikipedia.org/wiki/Avocado","Fruit crops"
"CRID","BAR","Barley","Hordeum vulgare","Cereal","Fodder",,"BA","Barley","Barley","C3","Annual","LD","Y","Seed","Stage","N","Seed",,"en.wikipedia.org/wiki/Barley","Cereals"
"CRID","BBR","Blueberry","Vaccinium spp.","Fruit",,,,,,"C3","Perennial",,,"Fruit",,"N","Cuttings",,"en.wikipedia.org/wiki/Blueberry","Fruit crops"
"CRID","BGR","Bitter gourd","Momordica charantia","Vegetable",,,,,,"C3","Annual",,,"Seed",,"N","Seed",,"en.wikipedia.org/wiki/Momordica_charantia","Vegetables"
"CRID","BHG","Bahia grass","Paspalum spp.","Forage",,,"BH","Bahia",,"C4","Perennial","LD",,"Shoot",,"N","Seed",,"en.wikipedia.org/wiki/Paspalum_notatum","Forages"
"CRID","BLW","Broad leaf weeds","(various)","NA",,,"BW","Weed",,"NA","Annual","NA",,"NA",,"N","Seed",,,"Various"
"CRID","BMD","Bermudagrass","Cynodon dactylon","Forage",,,"BM",,,"C4","Perennial",,,"Shoot",,"N","Transplant",,"en.wikipedia.org/wiki/Cynodon_dactylon","Forages"
"CRID","BMG","Bambara groundnut","Vigna subterranea","Pulse",,,"BG",,,"C3","Annual","SD","N","Seed",,"Y","Seed",,"en.wikipedia.org/wiki/Vigna_subterranea","Legumes"
"CRID","BND","Dry bean","Phaseolus vulgaris","Pulse",,"Dry or shell bean","BN","Drybean","Bean common (dry)","C3","Annual","SD","N","Seed",,"Y","Seed",,"en.wikipedia.org/wiki/Phaseolus_vulgaris","Legumes"
"CRID","BNG","Green bean","Phaseolus vulgaris","Vegetable",,"Snap bean (low fibre pods)","GB","Greenbean",,"C3","Annual","SD","N","Fruit",,"Y","Seed",,"https://en.wikipedia.org/wiki/Phaseolus_vulgaris","Vegetables"
"CRID","BNN","Banana","Musa paradisiaca","Fruit",,,"NN","Banana","Banana","C3","Perennial",,"N","Fruit",,"N","Rhizome",,"en.wikipedia.org/wiki/Banana#Historical_cultivation","Fruit crops"
"CRID","BRC","Brachiaria","Brachiaria spp.","Forage",,"Check which species","BR","Brachiaria",,"C4","Perennial",,,"Shoot",,"N","Seed",,"en.wikipedia.org/wiki/Brachiaria","Forages"
"CRID","BWH","Buckwheat","Fagopyrum esculentum","Pseudocereal",,,"BK","Buckwheat",,"C3","Annual",,,"Seed",,"N","Seed",,"en.wikipedia.org/wiki/Buckwheat","Cereals"
"CRID","CAM","Camelina","Camelina sativa","Oil seed",,,"CM","Camelina",,"C3","Annual",,,"Seed",,"N","Seed",,"en.wikipedia.org/wiki/Camelina","Oil crops"
"CRID","CAR","Carrot","Daucus carota","Vegetable",,,"C1","Carrot",,"C3","Biennial","SD/LD","Y","Root",,"N","Seed",,"en.wikipedia.org/wiki/Carrot","Vegetables"
"CRID","CBG","Cabbage","Brassica oleraceae","Vegetable",,,"CB","Cabbage",,"C3","Annual",,,"Leaf",,"N","Seed",,"en.wikipedia.org/wiki/Cabbage","Vegetables"
"CRID","CBY","Cranberry","Vaccinium macrocarpon","Fruit",,,,,,"C3","Perennial",,,"Fruit",,"N","Cuttings",,"en.wikipedia.org/wiki/Cranberry","Fruit crops"
"CRID","CCB","Chinese cabbage","Brassica rapa","Vegetable",,"inlcudes napa cabbage and bok choy","C3",,,"C3","Annual","LD","Y","Seed","Size","N","Seed",,"en.wikipedia.org/wiki/Chinese_cabbage","Vegetables"
"CRID","CCN","Coconut","Cocos nucifera","Oil seed",,,"CC","Coconut",,"C3","Perennial",,,"Seed","Stage","N","Seed",,"en.wikipedia.org/wiki/Coconut","Oil crops"
"CRID","CEL","Celery","Apium graveolens","Vegetable",,,,,,"C3","Annual","SD/LD","Y","Shoot",,"N","Seed",,"en.wikipedia.org/wiki/Celery","Vegetables"
"CRID","CFE","Coffee","Coffea spp.","Beverage",,"C. arabica, C. rustica","CF","Coffee",,"C3","Perennial",,,"Fruit",,"N","Seed",,"en.wikipedia.org/wiki/Coffee","Beverage"
"CRID","CGR","Concord grape","Vitis labrusca","Fruit",,"Concord grape","CG","Concordgrape",,"C3","Perennial",,,"Fruit",,"N","Transplant",,"en.wikipedia.org/wiki/Concord_grape","Fruit Crops"
"CRID","CHI","Chia","Salvia hispanica","Pseudocereal",,,"CI","Chia",,"C3","Annual","SD",,"Seed","Stage","N","Seed",,"en.wikipedia.org/wiki/Salvia_hispanica","Cereals"
"CRID","CHN","Chestnut","Castanea spp.","Nut",,,,,,"C3","Perennial",,,"Seed",,"N",,,"en.wikipedia.org/wiki/Chestnut","Nut"
"CRID","CHP","Chickpea","Cicer arietenum","Pulse",,"Garbanzo","CH","Chickpea",,"C3","Annual","LD",,"Seed",,"Y","Seed",,"en.wikipedia.org/wiki/Chickpea","Legumes"
"CRID","CHR","Cherry","Prunus spp.","Fruit",,"Many species","CY","Cherry",,"C3","Perennial",,,"Fruit",,"N","Transplant",,"en.wikipedia.org/wiki/Cherry","Fruit crops"
"CRID","CIT","Citrus","Citrus spp.","Fruit",,,"CT","Citrus",,"C3","Perennial",,,"Fruit",,"N","Transplant",,"en.wikipedia.org/wiki/Citrus","Fruit crops"
"CRID","CLF","Cauliflower","Brassica oleraceae","Vegetable",,,,,,"C3","Annual",,,"Inflorescence",,"N","Seed",,"en.wikipedia.org/wiki/Cauliflower","Vegetables"
"CRID","CLV","Clover","Trifolium spp.","Forage","Fodder",,"CV","Clover",,"C3","Perennial",,,"Shoot",,"Y","Seed",,"en.wikipedia.org/wiki/Clover","Forages"
"CRID","CNL","Canola","Brassica spp.","Oil seed",,"B. rapa, B. juncea, B. napus","CN","Canola",,"C3","Annual","Y","Y","Seed",,"N","Seed",,"en.wikipedia.org/wiki/Canola","Oil crops"
"CRID","COC","Chocolate","Theobroma cacao","Fruit, Beverage",,"Cocoa",,,,"C3","Perennial",,,"Seed",,"N",,,"en.wikipedia.org/wiki/Cacao","Beverage"
"CRID","COT","Cotton","Gossypium spp.","Fiber",,"G. hirsutum, G barbadense","CO","Cotton",,"C3","Annual","SD","N","Fruit",,"N","Seed",,"en.wikipedia.org/wiki/Cotton","Fiber"
"CRID","CRB","Carob","Ceratonia siliqua","Fruit",,,,,,"C3","Perennial",,,"Fruit",,"N",,,"en.wikipedia.org/wiki/Ceratonia_siliqua","Specialty"
"CRID","CRM","Crambe","Crambe abyssinica","Oil seed",,,"CR","Crambe",,"C3","Annual","Y","Y","Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Crambe","Oil crops"
"CRID","CST","Castor bean","Ricinus castorum","Oil seed",,,"C2","Castorbean",,"C3","Perennial",,,"Seed",,"N","Seed",,"en.wikipedia.org/wiki/Ricinus","Oil crops"
"CRID","CSV","Cassava","Manihot esculenta","Root crop",,,"CS","Cassava","Cassava","C3","Annual",,,"Root","Date","N","Stem cutting",,"en.wikipedia.org/wiki/Cassava","Root Crops"
"CRID","CSW","Cashew","Anacardium occidentale","Nut",,,,,,"C3","Perennial",,,"Seed",,"N",,,"en.wikipedia.org/wiki/Cashew","Nut"
"CRID","CUC","Cucumber","Cucumis sativus","Vegetable",,,,,,"C3","Annual",,,"Fruit",,"N",,,"https://en.wikipedia.org/wiki/Cucumber","Vegetables"
"CRID","CWP","Cowpea","Vigna unguiculata","Pulse",,,"CP","Cowpea","Cowpea","C3","Annual","SD",,"Seed",,"Y","Seed",,"https://en.wikipedia.org/wiki/Cowpea","Legumes"
"CRID","DAT","Dates","Phoenix dactylifera","Fruit",,,,,,"C3","Perennial",,,"Fruit",,"N",,,"https://en.wikipedia.org/wiki/Date_palm","Fruit crops"
"CRID","EGP","Eggplant","Solanum melongena","Vegetable",,,,,,"C3","Annual",,,"Fruit",,"N",,,"https://en.wikipedia.org/wiki/Eggplant","Vegetables"
"CRID","END","Endive","Cichorium endivia","Vegetable",,,,,,"C3","Annual","LD","Y","Leaves",,"N","Seed",,"en.wikipedia.org/wiki/Endive","Vegetables"
"CRID","BCR","Carinata","Brassica carinata","Bioenergy",,"Also known as ""Ethiopian mustard""","BC",,,"C3","Annual",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Brassica_carinata","Oil crops"
"CRID","FAL","Fallow","NA","NA",,,"FA","Fallow",,"NA","NA",,,"NA",,"N","NA",,,"Various"
"CRID","FBN","Faba bean","Vicia faba","Pulse",,,"FB","Fababean",,"C3","Annual",,,"Seed",,"Y","Seed",,"https://en.wikipedia.org/wiki/Vicia_faba","Legumes"
"CRID","FIG","Fig","Ficus carica","Fruit",,,"FG","Fig",,"C3","Perennial",,,"Fruit",,"N","Transplant",,"https://en.wikipedia.org/wiki/Fig","Fruit crops"
"CRID","FLX","Flax","Linum usitatissimum","Fiber",,,"FX",,,"C3","Annual",,,"Stem",,"N","Seed",,"https://en.wikipedia.org/wiki/Flax","Fiber"
"CRID","FML","Finger millet","Eleusine coracana","Cereal",,,,,,"C4","Annual",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Finger_millet","Cereals"
"CRID","FRG","Forage (generic)","(various)","Forage",,"Unidentified forage crop","G0",,,"NA","Perennial",,,"Shoot",,"N",,,,"Forages"
"CRID","FMZ","Forage maize","Zea mays","Forage",,,"MF",,,"C4","Annual",,,"Shoot",,"N","Seed",,"en.wikipedia.org/wiki/Maize",
"CRID","FSR","Red fescue","Festuca rubra","Turf","Ornamental","Creeping red fescue","FR",,,,"Perennial",,,,,,,,"https://en.wikipedia.org/wiki/Festuca_rubra",
"CRID","FXM","Foxtail millet","Setaria italica","Cereal",,,"FM","Foxtailmillet",,"C4","Annual",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Foxtail_millet","Cereals"
"CRID","GAR","Garlic","Allium sativum","Vegetable",,,"GA",,,"C3","Annual",,,"Bulb",,"N","Bulb",,"https://en.wikipedia.org/wiki/Garlic","Vegetables"
"CRID","GGR","Guinea grass","Megathyrsus maximus","Forage",,"Formerly Panicum maximum. In USA, an invasive weed.","GG",,,"C4","Perennial","SD","N","Shoot",,"N","Seed",,"en.wikipedia.org/wiki/Megathyrsus_maximus","Forages"
"CRID","GRV","Grass vegetations","(various)","NA",,,"GR","Grassvegetations",,"NA","NA",,,"NA",,"N","NA",,,"Various"
"CRID","GRW","Grass weeds","(various)","NA",,,"GW","Weed",,"NA","NA",,,"NA",,"N","NA",,,"Various"
"CRID","GUA","Guayule","Parthenium argentatum","Latex",,,"GU","Guayule",,"C3","Perennial",,,"Stem",,"N","Transplant","Seed","en.wikipedia.org/wiki/Parthenium_argentatum","Latex"
"CRID","GUR","Guar","Cyamopsis tetragonoloba","Specialty",,"Cluster bean","GY",,,"C3","Annual",,,"Seed",,"Y","Seed",,"en.wikipedia.org/wiki/Guar","Specialty"
"CRID","HMP","Hemp","Cannabis sativa","Fiber","Pharmaceutical",,"HM",,,"C3","Annual",,,"Stem",,"N","Seed",,"https://en.wikipedia.org/wiki/Hemp","Fiber"
"CRID","HOP","Hops","Humulus lupulus","Specialty",,"For brewing","HO","Hops",,"C3","Perennial",,,"Flower",,"N","Rhizome",,"en.wikipedia.org/wiki/Hops","Beverage"
"CRID","HSP","Hesperaloe","Hesperaloe spp.","Fiber, Bioenergy",,"""false yucca"", fiber and biomass new crop",,,,"CAM","Perennial",,,"Leaf",,"N",,,"https://en.wikipedia.org/wiki/Hesperaloe","Fiber"
"CRID","HVT","Hairy vetch","Vicia villosa Roth","Green manure","Forage",,"HV",,,"C3",,,,,,"Y",,,"https://en.wikipedia.org/wiki/Vicia_villosa",
"CRID","HZN","Hazelnut","Corylus avellana","Nut",,,,,,"C3","Perennial",,,"Seed",,"N",,,"https://en.wikipedia.org/wiki/Hazelnut","Nut"
"CRID","JAT","Jatropha","Jatropha curcas","Bioenergy",,,,,,"C3","Perennial",,,"Fruit",,"N",,,"https://en.wikipedia.org/wiki/Jatropha_curcas","Oil crops"
"CRID","JBN","Jack bean","Canavalia ensiformis","Pulse",,,"JB","Jackbean",,"C3","Annual",,,"Seed",,"Y","Seed",,"https://en.wikipedia.org/wiki/Canavalia_ensiformis","Legumes"
"CRID","JUT","Jute","Corchorus spp.","Fiber",,,"JT","Jute",,"C3","Annual",,,"Stem",,"N","Seed",,"en.wikipedia.org/wiki/Jute","Fiber"
"CRID","KNF","Kenaf","Hibiscus cannabinus","Fiber",,"Deccan hemp, Java jute","KF",,,"C3","Annual",,,"Stem",,"N","Seed",,"en.wikipedia.org/wiki/Kenaf","Fiber"
"CRID","LAB","Lablab","Dolichus lablab","Pulse",,,,,,"C3","Annual",,,"Seed",,"Y","Seed",,"https://en.wikipedia.org/wiki/Lablab","Legumes"
"CRID","LBN","Lima bean","Phaseolus lunatus","Pulse",,,"LB","Limabean","Lima bean","C3","Annual","SD",,"Seed",,"Y","Seed",,"en.wikipedia.org/wiki/Lima_bean","Legumes"
"CRID","LCG","Licorice","Glycyrrhiza glabra","Root crop",,,"LI",,,"C3","Perennial",,,"Root",,"Y",,,"https://en.wikipedia.org/wiki/Liquorice","Legumes"
"CRID","LCL","Licorice","Glycyrrhiza lepidota","Forage",,,,,,"C3","Perennial",,,"Leaf",,"Y",,,"https://plants.usda.gov/factsheet/pdf/fs_glle3.pdf","Forage"
"CRID","LEK","Leek","Alllium ampeloprasum","Vegetable",,,,,,"C3",,,,,,"N",,,"en.wikipedia.org/wiki/Leek","Vegetables"
"CRID","LEN","Lentil","Lens culinarus","Pulse",,,"LT","Lentil",,"C3","Annual",,,"Seed",,"Y","Seed",,,"Legumes"
"CRID","LET","Lettuce","Lactuca spp.","Vegetable",,,,,,"C3","Annual","LD","Y","Leaf",,"N","Seed",,,"Vegetables"
"CRID","MAZ","Maize","Zea mays","Cereal","Forage",,"MZ","Maize","Maize","C4","Annual",,,"Seed",,"N","Seed",,,"Cereals"
"CRID","MCN","Macadamia nut","Macadamia spp.","Nut",,,,,,"C3","Perennial",,,"Seed",,"N",,,,"Nut"
"CRID","MNG","Mung bean","Vigna radiata","Pulse",,"Green gram","MU",,,"C3","Annual","SD",,"Seed",,"Y","Seed",,"https://en.wikipedia.org/wiki/Mung_bean","Legumes"
"CRID","NPG","Napier grass","Pennisetum_purpureum","Forage, Bioenergy",,"Elephant grass","NP","Napiergrass",,"C4","Perennial",,,"Stem",,"N","Stem cutting",,,"Sugar/Energy"
"CRID","NPL","Nopal","Opuntia ficus-indica","Fruit","Vegetable, forage","Multiple other names. Other spp.","NL",,,"CAM","Perennial",,,"Fruit",,"N","Stem cutting",,"https://en.wikipedia.org/wiki/Opuntia_ficus-indica","Fruit crops"
"CRID","OST","Erect prickly pear","Opuntia stricta","Specialty",,,"OS",,,"CAM","Perennial",,,"Fruit",,"N","Stem cutting",,"https://en.wikipedia.org/wiki/Opuntia_stricta","Various"
"CRID","NCO","Cochineal nopal cactus","Nopalea cochenillifera",,,,"NC",,,"CAM","Perennial",,,"Fruit",,"N","Stem cutting",,"https://en.wikipedia.org/wiki/Opuntia_cochenillifera","Various"
"CRID","PTY","Pitaya","Stenocereus spp.","Fruit",,,"PY",,,"CAM","Perennial",,,"Fruit",,"N","Stem cutting",,"https://en.wikipedia.org/wiki/Stenocereus","Fruit crops"
